Fecha,Temperatura
2011-11-03 00:00:00.0,12.09028
2011-11-04 00:00:00.0,11.02917
2011-11-05 00:00:00.0,11.11597
2011-11-06 00:00:00.0,11.35278
2011-11-07 00:00:00.0,12.68611
2011-11-08 00:00:00.0,9.656248
2011-11-09 00:00:00.0,6.888889
2011-11-10 00:00:00.0,8.604168
2011-11-11 00:00:00.0,9.493055
2011-11-12 00:00:00.0,11.675
2011-11-13 00:00:00.0,14.43264
2011-11-14 00:00:00.0,13.87222
2011-11-15 00:00:00.0,16.55416
2016-04-10 00:00:00.0,-999.99
2011-11-17 00:00:00.0,15.00278
2011-11-18 00:00:00.0,11.50903
2011-11-19 00:00:00.0,9.360415
2011-11-20 00:00:00.0,9.692361
2011-11-21 00:00:00.0,10.53472
2011-11-22 00:00:00.0,12.30069
2011-11-23 00:00:00.0,11.07222
2011-11-24 00:00:00.0,11.73055
2011-11-25 00:00:00.0,10.77639
2011-11-26 00:00:00.0,10.57014
2011-11-27 00:00:00.0,12.00625
2019-01-28 00:00:00.0,-999.99
2011-11-29 00:00:00.0,12.44236
2011-11-30 00:00:00.0,11.57014
2011-12-01 00:00:00.0,13.50278
2011-12-02 00:00:00.0,14.23958
2011-12-03 00:00:00.0,12.50556
2011-12-04 00:00:00.0,13.32292
2011-12-05 00:00:00.0,13.05
2011-07-06 00:00:00.0,-999.99
2011-12-07 00:00:00.0,17.11806
2011-12-08 00:00:00.0,18.60695
2011-12-09 00:00:00.0,16.77361
2011-12-10 00:00:00.0,14.71111
2011-12-11 00:00:00.0,11.175
2011-12-12 00:00:00.0,14.20833
2011-12-13 00:00:00.0,16.90069
2011-12-14 00:00:00.0,22.22778
2011-12-15 00:00:00.0,23.83125
2012-09-14 00:00:00.0,N/A
2011-12-17 00:00:00.0,17.50348
2011-12-18 00:00:00.0,16.27847
2011-12-19 00:00:00.0,13.96805
2011-12-20 00:00:00.0,13.23681
2011-12-21 00:00:00.0,10.33195
2011-12-22 00:00:00.0,7.8
2011-12-23 00:00:00.0,8.607638
2011-12-24 00:00:00.0,13.50416
2011-12-25 00:00:00.0,14.53403
2011-12-26 00:00:00.0,17.08195
2019-06-02 00:00:00.0,N/A
2011-12-28 00:00:00.0,20.83264
2011-12-29 00:00:00.0,18.98194
2011-12-30 00:00:00.0,17.74166
2013-10-09 00:00:00.0,N/A
